待处理接口url(根据6月数据统计),紧急程度,接口功能,解决方案,优化前,优化后,解决人,sql
http://api.ethercap.com/index.php/s/project/getAllProjects/,紧急,首页，项目列表（搜索、查找）,,2908,,,
http://api.ethercap.com/index.php/s/im_message/getNewMessages,紧急,消息页，获取全局新消息,,1351,,,
http://api.ethercap.com/index.php/s/stats/sync,一般,同步applog,,962,,,
http://api.ethercap.com/index.php/s/im_message/getGroupList,紧急,获取会话列表,,524,,,
http://api.ethercap.com/index.php/s/user/getNotice,紧急,app小红点提醒,,449,,,
http://api.ethercap.com/index.php/s/message/getUnreadMessageCount,紧急,获取未读消息数目和最新消息,,427,,,
http://api.ethercap.com/index.php/s/message/getMessages/,紧急,获取全部消息,,343,,,
http://api.ethercap.com/index.php/s/project/getFilterProjectCount,紧急,获取筛选项目总数,,317,,,
http://api.ethercap.com/index.php/s/project/getSuggestion,紧急,搜索建议词接口,,304,,,
http://api.ethercap.com/index.php/s/meeting/syncNotEndedMeeting,紧急,同步会议列表,,298,,,
http://api.ethercap.com/index.php/s/meeting/getAvailableCityAndTime/,一般,获取安排会议地址与可选时间,,193,,,
http://api.ethercap.com/index.php/s/project/projectDetail/,一般,项目详情,,187,,,
http://api.ethercap.com/index.php/s/meeting/meetingsNeedFeedback,一般,获取需要反馈的会议列表,,150,,,
http://api.ethercap.com/index.php/s/meeting/notEndedMeeting,一般,未结束会议列表,,140,,,
http://api.ethercap.com/index.php/s/project/similarProjects/,一般,获取webview独立入口列表,,132,,,
http://api.ethercap.com/index.php/s/webview/getSimples,一般,获取相似项目列表(根据推荐),,121,,,
http://api.ethercap.com/index.php/s/user/getUserInfo,一般,获取用户信息接口,,97,,,
http://api.ethercap.com/index.php/s/webview/getJsSwitch,一般,获取订阅标签,,88,,,
http://api.ethercap.com/index.php/s/find/getInvestorRssLabels,一般,获取JsPatch开关,,87,,,
http://api.ethercap.com/index.php/s/meeting/setAvailableTimeFounder,一般,设置安排会议可选时间,,87,,,
http://api.ethercap.com/index.php/s/project/emailBP/,一般,添加Bp到邮件发送队列,,41,,,
http://api.ethercap.com/index.php/s/user/closeNotice,一般,关闭提醒,,41,,,
http://api.ethercap.com/index.php/s/project/searchProjects/,一般,项目搜索接口,,36,,,
http://api.ethercap.com/index.php/s/project/getCategories,一般,获取项目前台目录,,27,,,
http://api.ethercap.com/index.php/s/project/myProjects/,一般,获取收藏项目或历史项目列表,,17,,,
http://api.ethercap.com/index.php/s/meeting/endedMeeting/,一般,已结束会议列表,,17,,,
http://api.ethercap.com/index.php/s/im_message/received/,一般,告诉服务器端消息已读,,16,,,
http://api.ethercap.com/index.php/s/im_message/send/,一般,发送消息,,11,,,
http://api.ethercap.com/index.php/s/project/investorLike/,一般,投资人收藏项目,,11,,,
http://api.ethercap.com/index.php/s/user/getInvestorCard/,一般,获取投资人名片,,10,,,
http://api.ethercap.com/index.php/a/project/getList/ONLINE/,calendar,获取在线项目列表,,73,,,
http://api.ethercap.com/index.php/a/schedule/submitSchedules,calendar,同步schedules,,15,,,